carc_code,description,category,typical_overturn_rate
16,Claim/service lacks information or has submission/billing error(s),technical,0.65
18,Exact duplicate claim/service,technical,0.40
22,This care may be covered by another payer per coordination of benefits,cob,0.55
27,Expenses incurred after coverage terminated,eligibility,0.10
29,The time limit for filing has expired,timely_filing,0.05
45,Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement,pricing,0.20
50,These are non-covered services because this is not deemed a medical necessity,medical_necessity,0.45
96,Non-covered charge(s),benefit,0.15
97,The benefit for this service is included in the payment/allowance for another service/procedure that has already been adjudicated,bundling,0.30
107,The related or qualifying claim/service was not identified on this claim,technical,0.50
109,Claim/service not covered by this payer/contractor,benefit,0.20
119,Benefit maximum for this time period or occurrence has been reached,benefit,0.10
151,Payment adjusted because the payer deems the information submitted does not support this many/frequency of services,medical_necessity,0.35
167,This (these) diagnosis(es) is (are) not covered,benefit,0.25
197,Precertification/authorization/notification/pre-treatment absent,prior_auth,0.55
204,This service/equipment/drug is not covered under the patient's current benefit plan,benefit,0.20
234,This procedure is not paid separately,bundling,0.15
242,Services not provided by network/primary care providers,network,0.30
A1,Claim/service denied,generic,0.25
B7,This provider was not certified/eligible to be paid for this procedure/service on this date of service,credentialing,0.40
